order_id,product_id,add_to_cart_order,reordered
16,178,1,1
16,969,2,1
16,39,3,1
16,649,4,1
16,73,5,1
16,120,6,1
16,909,7,1
16,117,8,1
16,152,9,1
16,569,10,1
16,2,11,0
16,627,12,0
16,540,13,1
16,504,14,0
31,331,1,1
31,489,2,1
31,73,3,1
31,859,4,1
31,516,5,1
31,26,6,1
31,120,7,1
31,540,8,1
31,969,9,1
31,519,10,0
45,131,1,1
45,409,2,1
45,624,3,1
45,969,4,1
45,387,5,1
45,177,6,1
45,150,7,0
45,55,8,0
59,375,1,1
59,836,2,1
59,177,3,1
59,410,4,1
59,804,5,0
59,327,6,0
72,192,1,1
72,822,2,1
72,569,3,1
72,492,4,1
72,120,5,1
72,48,6,1
72,367,7,0
72,223,8,0
72,941,9,0
82,73,1,1
82,417,2,1
82,540,3,1
82,367,4,0
94,926,1,1
94,239,2,1
94,943,3,1
94,618,4,1
94,486,5,1
105,356,1,1
105,120,2,1
105,357,3,1
105,781,4,1
105,8,5,1
105,939,6,1
105,142,7,1
105,969,8,0
105,177,9,1
105,804,10,0
115,10,1,1
115,594,2,1
115,569,3,1
115,73,4,1
115,782,5,1
115,516,6,1
115,604,7,0
115,150,8,0
115,891,9,0
128,120,1,1
128,540,2,1
128,909,3,1
128,859,4,1
128,716,5,1
128,320,6,1
128,304,7,1
128,457,8,0
128,69,9,0
128,402,10,1
141,120,1,1
141,601,2,1
141,779,3,1
141,214,4,1
141,505,5,1
141,594,6,1
141,342,7,0
151,331,1,1
151,56,2,1
151,532,3,1
151,708,4,1
151,602,5,1
151,594,6,0
166,367,1,1
166,941,2,1
166,540,3,1
166,346,4,1
166,35,5,1
166,821,6,0
166,569,7,1
177,57,1,1
177,387,2,1
177,376,3,1
177,331,4,1
177,120,5,1
177,540,6,1
177,342,7,0
177,535,8,0
177,799,9,0
177,382,10,0
177,239,11,0
177,969,12,1
177,569,13,1
198,668,1,1
198,913,2,1
198,819,3,1
198,120,4,1
198,9,5,1
198,569,6,1
198,293,7,0
198,131,8,1
198,941,9,0
212,569,1,1
212,73,2,1
212,477,3,1
212,320,4,1
212,342,5,0
212,683,6,0
223,457,1,1
223,926,2,1
223,519,3,1
223,788,4,1
223,769,5,1
223,595,6,0
223,625,7,0
