order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1,1,prior,1,0,10,
2,1,prior,2,2,15,28
3,1,prior,3,5,13,10
4,1,prior,4,1,14,3
5,1,prior,5,3,10,6
6,1,prior,6,1,17,11
7,1,prior,7,0,11,12
8,1,prior,8,3,9,2
9,1,prior,9,3,14,23
10,1,prior,10,3,10,19
11,1,prior,11,6,23,12
12,1,prior,12,4,15,8
13,1,prior,13,4,19,14
14,1,prior,14,1,11,10
15,1,prior,15,5,11,9
16,1,train,16,3,15,3
17,2,prior,1,4,9,
18,2,prior,2,3,12,18
19,2,prior,3,2,8,9
20,2,prior,4,4,12,8
21,2,prior,5,2,7,1
22,2,prior,6,3,8,16
23,2,prior,7,5,8,11
24,2,prior,8,2,15,29
25,2,prior,9,4,13,14
26,2,prior,10,2,17,4
27,2,prior,11,5,11,10
28,2,prior,12,4,8,10
29,2,prior,13,0,12,12
30,2,prior,14,3,13,13
31,2,train,15,0,11,22
32,3,prior,1,1,9,
33,3,prior,2,0,11,13
34,3,prior,3,1,12,18
35,3,prior,4,5,12,10
36,3,prior,5,1,5,2
37,3,prior,6,2,14,2
38,3,prior,7,4,10,2
39,3,prior,8,2,7,20
40,3,prior,9,3,16,14
41,3,prior,10,5,10,30
42,3,prior,11,1,11,14
43,3,prior,12,2,8,6
44,3,prior,13,4,11,6
45,3,train,14,6,15,4
46,4,prior,1,2,12,
47,4,prior,2,3,13,6
48,4,prior,3,6,15,9
49,4,prior,4,1,10,4
50,4,prior,5,3,17,4
51,4,prior,6,4,11,21
52,4,prior,7,3,18,17
53,4,prior,8,1,8,19
54,4,prior,9,5,13,20
55,4,prior,10,4,13,9
56,4,prior,11,5,14,17
57,4,prior,12,5,11,14
58,4,prior,13,4,19,7
59,4,train,14,2,12,12
60,5,prior,1,5,16,
61,5,prior,2,4,16,0
62,5,prior,3,3,13,5
63,5,prior,4,2,12,3
64,5,prior,5,3,8,9
65,5,prior,6,5,14,12
66,5,prior,7,6,9,10
67,5,prior,8,1,9,10
68,5,prior,9,6,8,10
69,5,prior,10,1,9,10
70,5,prior,11,4,14,25
71,5,prior,12,0,14,7
72,5,train,13,0,14,14
73,6,prior,1,5,11,
74,6,prior,2,3,6,6
75,6,prior,3,3,10,2
76,6,prior,4,6,11,4
77,6,prior,5,4,11,7
78,6,prior,6,4,6,15
79,6,prior,7,5,2,6
80,6,prior,8,1,12,18
81,6,prior,9,6,12,12
82,6,train,10,1,12,15
83,7,prior,1,5,11,
84,7,prior,2,6,13,30
85,7,prior,3,0,8,18
86,7,prior,4,6,9,25
87,7,prior,5,3,14,8
88,7,prior,6,2,8,6
89,7,prior,7,1,10,11
90,7,prior,8,1,19,10
91,7,prior,9,6,5,0
92,7,prior,10,3,13,8
93,7,prior,11,4,20,6
94,7,train,12,0,7,29
95,8,prior,1,5,13,
96,8,prior,2,0,10,22
97,8,prior,3,0,19,4
98,8,prior,4,2,9,29
99,8,prior,5,1,15,8
100,8,prior,6,1,9,2
101,8,prior,7,3,13,6
102,8,prior,8,6,12,21
103,8,prior,9,2,15,4
104,8,prior,10,1,14,11
105,8,train,11,5,15,11
106,9,prior,1,3,18,
107,9,prior,2,6,10,9
108,9,prior,3,6,11,16
109,9,prior,4,3,9,10
110,9,prior,5,2,16,6
111,9,prior,6,1,12,2
112,9,prior,7,2,11,5
113,9,prior,8,4,16,14
114,9,prior,9,0,15,4
115,9,train,10,5,6,4
116,10,prior,1,6,8,
117,10,prior,2,1,14,5
118,10,prior,3,5,17,7
119,10,prior,4,5,16,11
120,10,prior,5,5,14,13
121,10,prior,6,6,9,1
122,10,prior,7,5,10,1
123,10,prior,8,4,11,4
124,10,prior,9,0,16,8
125,10,prior,10,1,17,14
126,10,prior,11,0,13,3
127,10,prior,12,6,12,17
128,10,train,13,5,9,11
129,11,prior,1,2,12,
130,11,prior,2,0,17,20
131,11,prior,3,0,13,30
132,11,prior,4,0,20,18
133,11,prior,5,5,19,6
134,11,prior,6,5,14,6
135,11,prior,7,6,8,14
136,11,prior,8,1,5,11
137,11,prior,9,4,18,8
138,11,prior,10,2,11,10
139,11,prior,11,2,7,7
140,11,prior,12,0,6,17
141,11,train,13,5,16,7
142,12,prior,1,5,8,
143,12,prior,2,3,14,3
144,12,prior,3,6,11,4
145,12,prior,4,5,20,16
146,12,prior,5,5,12,7
147,12,prior,6,0,11,3
148,12,prior,7,3,8,8
149,12,prior,8,3,17,4
150,12,prior,9,1,12,15
151,12,train,10,0,19,19
152,13,prior,1,1,4,
153,13,prior,2,1,10,6
154,13,prior,3,5,13,5
155,13,prior,4,0,18,8
156,13,prior,5,6,19,7
157,13,prior,6,5,19,13
158,13,prior,7,0,7,11
159,13,prior,8,6,8,6
160,13,prior,9,5,16,1
161,13,prior,10,2,16,17
162,13,prior,11,2,13,8
163,13,prior,12,3,18,16
164,13,prior,13,2,12,4
165,13,prior,14,6,10,4
166,13,train,15,2,7,21
167,14,prior,1,2,12,
168,14,prior,2,6,5,1
169,14,prior,3,1,10,5
170,14,prior,4,1,18,11
171,14,prior,5,6,8,5
172,14,prior,6,4,12,4
173,14,prior,7,6,6,14
174,14,prior,8,0,16,4
175,14,prior,9,4,9,3
176,14,prior,10,2,12,6
177,14,train,11,1,12,25
178,15,prior,1,5,17,
179,15,prior,2,1,15,6
180,15,prior,3,0,14,5
181,15,prior,4,4,12,3
182,15,prior,5,4,10,13
183,15,prior,6,0,16,9
184,15,prior,7,5,12,6
185,15,prior,8,4,5,12
186,15,prior,9,0,12,4
187,15,prior,10,3,14,4
188,15,prior,11,3,12,24
189,15,prior,12,0,15,28
190,15,prior,13,6,16,7
191,15,prior,14,4,15,16
192,15,prior,15,0,6,10
193,15,prior,16,4,23,11
194,15,prior,17,5,16,11
195,15,prior,18,2,12,7
196,15,prior,19,0,10,3
197,15,prior,20,3,13,5
198,15,train,21,4,20,6
199,16,prior,1,4,15,
200,16,prior,2,1,17,25
201,16,prior,3,3,11,8
202,16,prior,4,4,8,5
203,16,prior,5,6,13,9
204,16,prior,6,1,15,2
205,16,prior,7,6,12,2
206,16,prior,8,1,15,15
207,16,prior,9,0,14,6
208,16,prior,10,5,17,18
209,16,prior,11,3,13,14
210,16,prior,12,2,12,3
211,16,prior,13,4,16,2
212,16,train,14,3,14,11
213,17,prior,1,3,19,
214,17,prior,2,1,16,13
215,17,prior,3,6,16,8
216,17,prior,4,6,9,8
217,17,prior,5,1,18,7
218,17,prior,6,1,9,5
219,17,prior,7,5,10,6
220,17,prior,8,0,11,13
221,17,prior,9,4,10,2
