product_id,product_name,aisle_id,department_id
1,Gluten-Free Ice Cream #1,4,16
2,Whole Paper Towels #2,31,11
3,Original Dog Treats #3,27,13
4,Spicy Cheddar #4,18,3
5,Family Size Cheddar #5,18,3
6,Fresh Baby Wipes #6,35,20
7,Classic Sourdough #7,4,16
8,Whole Dish Soap #8,28,17
9,Premium Cheddar #9,9,7
10,Organic Sparkling Water #10,4,16
11,Organic Banana #11,22,15
12,Spicy Dish Soap #12,40,9
13,Gluten-Free Banana #13,30,11
14,Organic Greek Yogurt #14,31,11
15,Whole Sourdough #15,29,17
16,Natural Hummus #16,32,18
17,Family Size Sourdough #17,21,12
18,Organic Sparkling Lemonade #18,6,16
19,Spicy Almond Milk #19,34,5
20,Natural Dish Soap #20,19,12
21,Family Size Dish Soap #21,21,12
22,Premium Ground Coffee #22,15,1
23,Family Size Hummus #23,8,7
24,Classic Salsa #24,38,7
25,Family Size Sparkling Water #25,32,18
26,Whole Ground Coffee #26,26,13
27,Whole IPA #27,17,3
28,Organic IPA #28,33,5
29,Natural Sparkling Lemonade #29,22,15
30,Natural Sourdough #30,18,3
31,Gluten-Free Cereal #31,19,12
32,Original Ice Cream #32,10,7
33,Gluten-Free Ground Coffee #33,4,16
34,Lite Olive Oil #34,23,15
35,Premium Almond Milk #35,36,20
36,Family Size Granola #36,3,4
37,Gluten-Free Avocado #37,35,20
38,Natural Hummus #38,34,5
39,Family Size Hummus #39,12,19
40,Natural Dish Soap #40,26,13
41,Lite IPA #41,7,16
42,Lite Avocado #42,31,11
43,Classic Dish Soap #43,29,17
44,Gluten-Free IPA #44,15,1
45,Low-Fat Hummus #45,3,4
46,Whole Chicken Breast #46,39,9
47,Spicy Pasta Sauce #47,18,3
48,Fresh Banana #48,36,20
49,Spicy Sparkling Lemonade #49,28,17
50,Organic Pasta Sauce #50,32,18
51,Natural Chicken Breast #51,31,11
52,Lite Hummus #52,8,7
53,Fresh Granola #53,15,1
54,Classic Paper Towels #54,19,12
55,Lite Banana #55,20,12
56,Low-Fat Tortilla Chips #56,2,4
57,Classic Greek Yogurt #57,22,15
58,Classic Cheddar #58,7,16
59,Lite Salsa #59,30,11
60,Family Size Cheddar #60,28,17
61,Organic Banana #61,37,8
62,Fresh Tortilla Chips #62,30,11
63,Spicy Dish Soap #63,15,1
64,Spicy Olive Oil #64,39,9
65,Whole Olive Oil #65,17,3
66,Premium Cereal #66,14,19
67,Gluten-Free Sparkling Lemonade #67,37,8
68,Low-Fat Banana #68,15,1
69,Family Size Ground Coffee #69,4,16
70,Family Size Avocado #70,19,12
71,Spicy Sourdough #71,32,18
72,Lite Dish Soap #72,8,7
73,Fresh Cheddar #73,19,12
74,Whole Sparkling Lemonade #74,6,16
75,Family Size Dish Soap #75,28,17
76,Premium Cheddar #76,20,12
77,Natural Paper Towels #77,14,19
78,Fresh Salsa #78,10,7
79,Original Dish Soap #79,23,15
80,Premium Sourdough #80,27,13
81,Whole Cheddar #81,38,7
82,Spicy Avocado #82,18,3
83,Whole Sparkling Water #83,7,16
84,Organic Pasta Sauce #84,34,5
85,Lite Dog Treats #85,26,13
86,Low-Fat Olive Oil #86,29,17
87,Premium Granola #87,4,16
88,Organic Sourdough #88,13,19
89,Fresh Granola #89,31,11
90,Fresh Almond Milk #90,34,5
91,Low-Fat Dog Treats #91,18,3
92,Family Size Chicken Breast #92,33,5
93,Natural Sourdough #93,34,5
94,Original Salsa #94,16,1
95,Whole Almond Milk #95,36,20
96,Premium Greek Yogurt #96,12,19
97,Classic Ice Cream #97,10,7
98,Whole Olive Oil #98,28,17
99,Family Size IPA #99,26,13
100,Gluten-Free Olive Oil #100,6,16
101,Spicy Chicken Breast #101,34,5
102,Lite Sparkling Lemonade #102,8,7
103,Low-Fat Paper Towels #103,33,5
