user_id,frequency,monetary,avg_order_value,total_items,recency,R,F,M,rfm_cell,rfm_score,segment,action
1489,8,484.38,60.55,62,17.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
4790,12,872.05,72.67,95,7.0,3,3,4,33,10,Need Attention,Limited-time offers on past favourites.
273,17,1117.62,65.74,138,10.0,3,5,5,35,13,Loyal Customers,Upsell higher-value items; ask for reviews.
3936,11,676.13,61.47,87,27.0,1,2,3,12,6,Hibernating,Low-cost reactivation; otherwise let lapse.
2574,5,395.56,79.11,44,6.0,4,1,1,41,6,Promising,Targeted offers and brand awareness.
951,16,1093.95,68.37,105,30.0,1,5,5,15,11,Can't Lose Them,Aggressive win-back; they were valuable.
4326,13,687.06,52.85,94,8.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
2614,18,1224.63,68.04,137,5.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
2520,5,316.63,63.33,37,3.0,5,1,1,51,7,New Customers,Onboarding support; build the second-order habit.
2466,17,908.7,53.45,130,5.0,4,5,4,45,13,Loyal Customers,Upsell higher-value items; ask for reviews.
2196,18,1211.6,67.31,140,4.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
4321,15,1029.68,68.65,132,13.0,2,4,5,24,11,At Risk,Win-back campaign; personalised reorders.
1750,11,643.25,58.48,75,14.0,2,2,2,22,6,Hibernating,Low-cost reactivation; otherwise let lapse.
176,11,843.19,76.65,81,23.0,1,2,4,12,7,Hibernating,Low-cost reactivation; otherwise let lapse.
576,7,500.53,71.5,47,16.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
4683,10,590.2,59.02,80,18.0,1,2,2,12,5,Hibernating,Low-cost reactivation; otherwise let lapse.
4993,7,402.51,57.5,49,26.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
4976,14,1356.97,96.93,103,5.0,4,4,5,44,13,Loyal Customers,Upsell higher-value items; ask for reviews.
1003,14,916.93,65.5,107,6.0,4,4,4,44,12,Loyal Customers,Upsell higher-value items; ask for reviews.
292,10,670.13,67.01,87,17.0,1,2,3,12,6,Hibernating,Low-cost reactivation; otherwise let lapse.
1331,12,667.1,55.59,90,4.0,5,3,3,53,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
2784,15,1079.85,71.99,115,1.0,5,4,5,54,14,Champions,"Reward; early access, referrals, VIP perks."
663,17,803.96,47.29,104,9.0,3,5,4,35,12,Loyal Customers,Upsell higher-value items; ask for reviews.
1552,4,297.57,74.39,43,8.0,3,1,1,31,5,About to Sleep,Reactivate with relevant recommendations.
1589,16,815.78,50.99,122,13.0,2,5,4,25,11,Can't Lose Them,Aggressive win-back; they were valuable.
3725,9,650.11,72.23,89,2.0,5,1,3,51,9,New Customers,Onboarding support; build the second-order habit.
1811,12,854.89,71.24,111,8.0,3,3,4,33,10,Need Attention,Limited-time offers on past favourites.
2204,13,749.02,57.62,98,12.0,2,3,3,23,8,At Risk,Win-back campaign; personalised reorders.
1373,12,728.05,60.67,95,7.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
764,16,835.79,52.24,121,7.0,3,5,4,35,12,Loyal Customers,Upsell higher-value items; ask for reviews.
556,18,1135.74,63.1,126,2.0,5,5,5,55,15,Champions,"Reward; early access, referrals, VIP perks."
2469,11,777.03,70.64,97,3.0,5,2,4,52,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
3762,12,689.17,57.43,83,8.0,3,3,3,33,9,Need Attention,Limited-time offers on past favourites.
4116,10,554.33,55.43,67,3.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
1268,4,206.78,51.7,22,20.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
2749,17,853.7,50.22,130,3.0,5,5,4,55,14,Champions,"Reward; early access, referrals, VIP perks."
3641,9,640.12,71.12,88,5.0,4,1,2,41,7,Promising,Targeted offers and brand awareness.
173,16,935.02,58.44,98,6.0,4,5,5,45,14,Loyal Customers,Upsell higher-value items; ask for reviews.
4221,15,756.06,50.4,94,15.0,2,4,3,24,9,At Risk,Win-back campaign; personalised reorders.
2276,9,509.32,56.59,68,16.0,1,1,1,11,3,Hibernating,Low-cost reactivation; otherwise let lapse.
876,11,523.22,47.57,78,2.0,5,2,2,52,9,Potential Loyalists,Membership/loyalty offers to deepen the habit.
161,14,599.06,42.79,94,30.0,1,4,2,14,7,At Risk,Win-back campaign; personalised reorders.
4813,6,308.62,51.44,38,15.0,2,1,1,21,4,Hibernating,Low-cost reactivation; otherwise let lapse.
3202,14,812.84,58.06,116,0.0,5,4,4,54,13,Champions,"Reward; early access, referrals, VIP perks."
113,14,918.12,65.58,88,8.0,3,4,4,34,11,Loyal Customers,Upsell higher-value items; ask for reviews.
2172,9,705.32,78.37,68,9.0,3,1,3,31,7,About to Sleep,Reactivate with relevant recommendations.
2983,12,592.15,49.35,85,14.0,2,3,2,23,7,At Risk,Win-back campaign; personalised reorders.
1595,16,902.97,56.44,103,10.0,3,5,4,35,12,Loyal Customers,Upsell higher-value items; ask for reviews.
3097,13,659.05,50.7,95,14.0,2,3,3,23,8,At Risk,Win-back campaign; personalised reorders.
4519,13,576.03,44.31,97,20.0,1,3,2,13,6,At Risk,Win-back campaign; personalised reorders.
4611,23,1516.23,65.92,177,8.0,3,5,5,35,13,Loyal Customers,Upsell higher-value items; ask for reviews.
4095,17,993.7,58.45,130,7.0,3,5,5,35,13,Loyal Customers,Upsell higher-value items; ask for reviews.
4289,10,822.15,82.22,85,1.0,5,2,4,52,11,Potential Loyalists,Membership/loyalty offers to deepen the habit.
